round,state,lga,u5,missed_u5_round,covered_u5_round,coverage_round,missed_rate,rank_missed,rank_rate
6,Katsina,Funtua,129995,38716,91279,0.7021731605061733,0.2978268394938267,1,17
6,Zamfara,Gusau,106956,31505,75451,0.7054396200306668,0.2945603799693332,2,21
6,Jigawa,Gwaram,96879,27428,69451,0.7168839480176302,0.2831160519823698,3,28
6,Zamfara,Kaura Namoda,80447,25250,55197,0.6861287555782067,0.3138712444217932,4,5
6,Kano,Ungogo,106115,23359,82756,0.7798708947839608,0.2201291052160392,5,111
6,Katsina,Danja,66207,21701,44506,0.6722249913151177,0.32777500868488224,6,1
6,Katsina,Katsina,88119,20992,67127,0.7617766883419013,0.2382233116580987,7,88
6,Jigawa,Birnin Kudu,84417,18320,66097,0.7829821007616949,0.21701789923830508,8,117
6,Sokoto,Kware,59832,18075,41757,0.6979041315683915,0.3020958684316085,9,12
6,Zamfara,Bungudu,57777,17590,40187,0.6955535939906884,0.30444640600931167,10,10
6,Zamfara,Birnin_magaji-Kiyaw,70761,16701,54060,0.7639801585619197,0.2360198414380803,11,91
6,Katsina,Kafur,71246,16188,55058,0.7727872441961654,0.2272127558038346,12,103
6,Katsina,Dutsin Ma,66644,16105,50539,0.7583428365644319,0.2416571634355681,13,83
6,Jigawa,Dutse,66651,16032,50619,0.7594634739163704,0.24053652608362966,14,86
6,Kebbi,Wasagu-Danko,57675,16003,41672,0.722531426094495,0.277468573905505,15,35
6,Katsina,Bakori,76063,15987,60076,0.7898189658572499,0.21018103414275008,16,127
6,Kano,Kiru,65039,15863,49176,0.7561001860422208,0.24389981395777918,17,78
6,Zamfara,Tsafe,70504,15829,54675,0.7754879155792579,0.22451208442074208,18,106
6,Katsina,Dandume,69858,15594,54264,0.7767757450828824,0.2232242549171176,19,108
6,Katsina,Baure,59990,15274,44716,0.7453908984830805,0.2546091015169195,20,63
6,Jigawa,Ringim,61143,15209,45934,0.7512552540765092,0.24874474592349083,21,70
6,Kano,Gwale,70170,15198,54972,0.7834117144078666,0.2165882855921334,22,120
6,Katsina,Mani,56021,15123,40898,0.7300476606986666,0.26995233930133344,23,46
6,Katsina,Batagarawa,50012,15075,34937,0.6985723426377669,0.30142765736223304,24,13
6,Zamfara,Gummi,62442,15053,47389,0.7589282854488966,0.24107171455110343,25,84
6,Zamfara,Maru,51588,14924,36664,0.7107079165697449,0.2892920834302551,26,23
6,Katsina,Malumfashi,72494,14873,57621,0.7948381935056694,0.20516180649433058,27,134
6,Sokoto,Gada,56218,14665,41553,0.7391404888114127,0.2608595111885873,28,55
6,Kano,Wudil,45593,14664,30929,0.6783716798631368,0.3216283201368631,29,2
6,Zamfara,Shinkafi,54110,14658,39452,0.7291073738680466,0.2708926261319534,30,42
6,Katsina,Batsari,51740,14590,37150,0.7180131426362583,0.2819868573637418,31,30
6,Kano,Minjibir,60297,14535,45762,0.7589432310065177,0.24105676899348227,32,85
6,Zamfara,Bukkuyum,49602,14468,35134,0.7083182129752833,0.29168178702471675,33,22
6,Jigawa,Babura,68811,14434,54377,0.7902370260568804,0.20976297394311955,34,128
6,Katsina,Mashi,53020,14361,38659,0.7291399471897397,0.27086005281026027,35,43
6,Kano,Kumbotso,65409,14293,51116,0.7814826705805011,0.21851732941949883,36,115
6,Katsina,Charanchi,46938,14285,32653,0.6956623631173037,0.3043376368826963,37,11
6,Katsina,Kankia,55356,14089,41267,0.7454837777296047,0.2545162222703953,38,64
6,Kano,Bichi,67793,14011,53782,0.7933267446491525,0.20667325535084743,39,131
6,Sokoto,Wamakko,48632,13892,34740,0.7143444645500905,0.2856555354499095,40,26
6,Kebbi,Koko-Besse,50019,13884,36135,0.7224254783182391,0.27757452168176094,41,34
6,Kebbi,Birnin Kebbi,51390,13775,37615,0.7319517415839657,0.26804825841603425,42,50
6,Katsina,Safana,58722,13752,44970,0.7658117911515275,0.23418820884847247,43,95
6,Zamfara,Talata Mafara,63854,13528,50326,0.7881416982491308,0.21185830175086917,44,126
6,Kano,Nassarawa,70341,13433,56908,0.8090302952758704,0.1909697047241296,45,144
6,Kebbi,Maiyama,44627,13236,31391,0.7034082506106168,0.2965917493893831,46,19
6,Zamfara,Bakura,43388,12999,30389,0.7004010325435605,0.29959896745643955,47,15
6,Kano,Dawakin Kudu,62046,12925,49121,0.7916868130097025,0.20831318699029752,48,130
6,Kano,Karaye,47854,12922,34932,0.7299703264094956,0.27002967359050445,49,45
6,Sokoto,Tambuwal,41782,12907,28875,0.6910870709875065,0.3089129290124934,50,6
6,Katsina,Bindawa,48296,12785,35511,0.7352782839158523,0.26472171608414774,51,53
6,Kano,Tudun Wada,55622,12774,42848,0.7703426701664808,0.2296573298335191,52,100
6,Sokoto,Goronyo,60627,12479,48148,0.7941676150889867,0.20583238491101324,53,133
6,Katsina,Dan Musa,45182,12427,32755,0.7249568412199549,0.27504315878004515,54,38
6,Katsina,Sabuwa,41943,12400,29543,0.704360679970436,0.29563932002956395,55,20
6,Kano,Bebeji,49261,12378,36883,0.7487261728344938,0.25127382716550617,56,66
6,Katsina,Jibia,47995,12298,35697,0.7437649755182831,0.25623502448171687,57,61
6,Katsina,Rimi,50143,12222,37921,0.7562571046806135,0.24374289531938656,58,79
6,Katsina,Ingawa,49198,11972,37226,0.7566567746656369,0.24334322533436317,59,80
6,Kano,Gwarzo,51625,11863,39762,0.7702082324455206,0.22979176755447941,60,99
6,Jigawa,Jahun,53868,11835,42033,0.7802962797950546,0.2197037202049454,61,112
6,Kano,Ajingi,41271,11827,29444,0.7134307382908095,0.28656926170919045,62,24
6,Kano,Gezawa,58005,11741,46264,0.7975864149642272,0.20241358503577278,63,135
6,Zamfara,Zurmi,61733,11697,50036,0.8105227350039687,0.1894772649960313,64,146
6,Jigawa,Kazaure,50145,11668,38477,0.7673147871173597,0.23268521288264035,65,97
6,Kano,Sumaila,44190,11372,32818,0.7426567096628196,0.25734329033718034,66,56
6,Kebbi,Shanga,41213,11203,30010,0.7281682964113265,0.2718317035886735,67,41
6,Kano,Doguwa,52337,11150,41187,0.7869576016966964,0.2130423983033036,68,124
6,Katsina,Musawa,43902,11148,32754,0.7460707940412737,0.25392920595872626,69,65
6,Kano,Dambatta,51181,11087,40094,0.7833766436763643,0.21662335632363572,70,119
6,Katsina,Kankara,44621,11078,33543,0.7517312476188341,0.24826875238116583,71,72
6,Kebbi,Bagudo,42807,11005,31802,0.7429158782442123,0.2570841217557876,72,59
6,Sokoto,Bodinga,35609,10871,24738,0.6947120110084529,0.3052879889915471,73,9
6,Jigawa,Kafin Hausa,50409,10856,39553,0.7846416314547006,0.21535836854529944,74,122
6,Sokoto,Dange Shuni,36038,10796,25242,0.7004273267106943,0.29957267328930576,75,16
6,Jigawa,Kiyawa,47390,10639,36751,0.7755011605824014,0.22449883941759866,76,107
6,Kano,Madobi,57164,10609,46555,0.8144111678678889,0.1855888321321111,77,150
6,Jigawa,Birniwa,39308,10592,28716,0.7305383128116414,0.2694616871883586,78,47
6,Jigawa,Hadejia,35609,10588,25021,0.7026594400292061,0.2973405599707939,79,18
6,Jigawa,Sule Tankarkar,47801,10471,37330,0.7809460053136964,0.21905399468630363,80,113
6,Jigawa,Kiri Kasama,41652,10396,31256,0.7504081436665706,0.24959185633342937,81,68
6,Katsina,Kaita,53907,10344,43563,0.8081139740664478,0.19188602593355222,82,143
6,Zamfara,Maradun,41876,10290,31586,0.7542745247874678,0.24572547521253224,83,73
6,Kano,Dawakin Tofa,54684,10123,44561,0.8148818667251847,0.1851181332748153,84,151
6,Kano,Gabasawa,43901,10040,33861,0.7713036149518234,0.22869638504817658,85,101
6,Kano,Rogo,44167,9945,34222,0.7748318880612222,0.2251681119387778,86,105
6,Jigawa,Roni,64903,9874,55029,0.8478652758732262,0.1521347241267738,87,156
6,Katsina,Kusada,35616,9844,25772,0.723607367475292,0.27639263252470797,88,37
6,Jigawa,Malam Madori,35915,9797,26118,0.7272170402338856,0.27278295976611444,89,40
6,Kebbi,Gwandu,39622,9664,29958,0.7560950986825501,0.2439049013174499,90,77
6,Kano,Bagwai,45911,9617,36294,0.7905295027335497,0.2094704972664503,91,129
6,Sokoto,Sabon Birni,43901,9578,34323,0.7818272932279446,0.2181727067720553,92,116
6,Katsina,Matazu,33660,9474,24186,0.7185383244206773,0.2814616755793226,93,31
6,Kebbi,Arewa Dandi,30737,9468,21269,0.691967335784234,0.30803266421576603,94,7
6,Kano,Gaya,38112,9356,28756,0.7545130142737195,0.24548698572628044,95,74
6,Sokoto,Sokoto North,32810,9311,23499,0.716214568729046,0.28378543127095396,96,27
6,Katsina,Zango,35271,9230,26041,0.7383119276459414,0.26168807235405855,97,54
6,Jigawa,Kaugama,38848,9134,29714,0.7648785008237232,0.23512149917627678,98,92
6,Zamfara,Anka,37457,9111,28346,0.756761086045332,0.243238913954668,99,81
6,Kano,Rano,33938,9102,24836,0.7318050562790972,0.2681949437209028,100,49
6,Kano,Kura,33025,9069,23956,0.7253898561695685,0.2746101438304315,101,39
6,Jigawa,Taura,45522,9047,36475,0.801260928781688,0.19873907121831202,102,136
6,Sokoto,Gwadabawa,33493,9006,24487,0.7311079927148957,0.2688920072851044,103,48
6,Katsina,Dutsi,34700,8882,25818,0.7440345821325648,0.25596541786743515,104,62
6,Kano,Kibiya,37994,8831,29163,0.767568563457388,0.232431436542612,105,98
6,Sokoto,Wurno,30662,8773,21889,0.7138803731002544,0.2861196268997456,106,25
6,Katsina,Kurfi,35670,8750,26920,0.7546958228202971,0.24530417717970282,107,76
6,Jigawa,Miga,35585,8613,26972,0.7579598145285935,0.2420401854714065,108,82
6,Kano,Albasu,43495,8558,34937,0.8032417519255087,0.19675824807449133,109,139
6,Kano,Warawa,36143,8550,27593,0.763439670198932,0.23656032980106798,110,90
6,Sokoto,Yabo,26731,8524,18207,0.6811192996894991,0.3188807003105009,111,3
6,Kebbi,Jega,28271,8518,19753,0.6987018499522479,0.3012981500477521,112,14
6,Kebbi,Suru,30260,8413,21847,0.7219762062128222,0.2780237937871778,113,33
6,Jigawa,Buji,29635,8383,21252,0.7171250210899275,0.28287497891007257,114,29
6,Kano,Takai,36240,8173,28067,0.7744757174392936,0.2255242825607064,115,104
6,Kano,Garko,37590,8157,29433,0.783000798084597,0.21699920191540303,116,118
6,Sokoto,Rabah,31591,8124,23467,0.7428381501060428,0.25716184989395713,117,57
6,Katsina,Daura,32797,8049,24748,0.7545812116961917,0.24541878830380828,118,75
6,Kebbi,Dandi,32335,7679,24656,0.7625173960105149,0.2374826039894851,119,89
6,Katsina,Sandamu,33600,7431,26169,0.7788392857142857,0.2211607142857143,120,109
6,Kebbi,Ngaski,30978,7426,23552,0.7602814900897411,0.2397185099102589,121,87
6,Sokoto,Isa,37156,7382,29774,0.8013241468403488,0.1986758531596512,122,137
6,Sokoto,Shagari,34260,7286,26974,0.78733216579101,0.21266783420899008,123,125
6,Sokoto,Sokoto South,29216,7285,21931,0.7506503285870756,0.2493496714129244,124,69
6,Kano,Bunkure,37446,7284,30162,0.805479891043102,0.19452010895689795,125,141
6,Katsina,Mai'adua,35182,7253,27929,0.7938434426695469,0.20615655733045307,126,132
6,Kano,Tsanyawa,36552,7136,29416,0.8047712847450208,0.1952287152549792,127,140
6,Sokoto,Illela,28375,7085,21290,0.7503083700440528,0.24969162995594713,128,67
6,Kebbi,Bunza,26175,7072,19103,0.7298185291308501,0.27018147086914995,129,44
6,Kano,Tofa,26869,6683,20186,0.7512747031895493,0.24872529681045072,130,71
6,Katsina,Faskari,35487,6673,28814,0.811959309042748,0.18804069095725195,131,148
6,Jigawa,Gagarawa,33992,6598,27394,0.8058955048246647,0.19410449517533537,132,142
6,Kano,Fagge,48454,6532,41922,0.8651917282370909,0.13480827176290916,133,159
6,Jigawa,Maigatari,34408,6412,27996,0.8136479888398047,0.1863520111601953,134,149
6,Kano,Makoda,28177,6162,22015,0.7813109983319729,0.21868900166802713,135,114
6,Jigawa,Guri,25926,6084,19842,0.7653320990511455,0.23466790094885442,136,93
6,Sokoto,Tureta,25926,6047,19879,0.7667592378307491,0.23324076216925094,137,96
6,Kebbi,Yauri,26482,5855,20627,0.7789064270070236,0.22109357299297636,138,110
6,Kano,Kunchi,26914,5754,21160,0.7862079215278294,0.2137920784721706,139,123
6,Jigawa,Gumel,26081,5628,20453,0.7842107281162533,0.2157892718837468,140,121
6,Kano,Dala,39358,5560,33798,0.8587326591798363,0.14126734082016362,141,158
6,Kano,Kabo,34194,5552,28642,0.837632333157864,0.16236766684213605,142,155
6,Jigawa,Auyo,29019,5457,23562,0.81195079086116,0.18804920913884007,143,147
6,Kebbi,Fakai,27516,5448,22068,0.8020061055385957,0.19799389446140428,144,138
6,Sokoto,Silame,19515,5413,14102,0.7226236228542147,0.2773763771457853,145,36
6,Kebbi,Kalgo,20293,5401,14892,0.7338491105307249,0.2661508894692751,146,52
6,Kano,Garum Mallam,29702,5386,24316,0.8186654097367181,0.18133459026328194,147,152
6,Kano,Shanono,35073,5119,29954,0.8540472728309526,0.14595272716904742,148,157
6,Kebbi,Argungu,19626,5033,14593,0.7435544685621115,0.2564455314378885,149,60
6,Sokoto,Kebbe,18763,5017,13746,0.732612055641422,0.26738794435857804,150,51
6,Kebbi,Augie,21740,4964,16776,0.7716651333946642,0.22833486660533578,151,102
6,Sokoto,Binji,15558,4954,10604,0.6815786090757167,0.31842139092428334,152,4
6,Jigawa,Garki,45753,4767,40986,0.8958101108124057,0.10418988918759425,153,164
6,Kano,Tarauni,38389,4725,33664,0.8769178670973456,0.1230821329026544,154,162
6,Kebbi,Aleiro,19958,4680,15278,0.7655075658883655,0.23449243411163442,155,94
6,Kebbi,Sakaba,32025,4048,27977,0.8735987509758002,0.12640124902419986,156,161
6,Jigawa,Gwiwa,29849,3902,25947,0.8692753526081276,0.13072464739187242,157,160
6,Kebbi,Zuru,12510,3821,8689,0.6945643485211831,0.30543565147881696,158,8
6,Kano,Rimin Gado,20634,3522,17112,0.829310846176214,0.170689153823786,159,154
6,Jigawa,Yankwashi,17748,3104,14644,0.8251070543159793,0.17489294568402072,160,153
6,Sokoto,Gudu,11947,3072,8875,0.7428643174018582,0.2571356825981418,161,58
6,Kano,Kano Municipal,22240,2675,19565,0.8797212230215827,0.12027877697841727,162,163
6,Sokoto,Tangaza,6916,1932,4984,0.7206477732793523,0.2793522267206478,163,32
6,Kebbi,Bagudu,21,4,17,0.8095238095238095,0.19047619047619047,164,145
